"Service","CloudWatch($)","Relational Database Service($)","EC2-Instances($)","EC2-Other($)","Tax($)","Elastic Container Service for Kubernetes($)","VPC($)","Elastic Load Balancing($)","GuardDuty($)","EC2 Container Registry (ECR)($)","DynamoDB($)","WAF($)","Config($)","S3($)","Lambda($)","API Gateway($)","Key Management Service($)","Secrets Manager($)","X-Ray($)","Route 53($)","SQS($)","SageMaker($)","Security Hub($)","CloudWatch Events($)","Step Functions($)","SNS($)","CloudTrail($)","Glue($)","Cognito($)","Total costs($)"
"Service total","641.9821464959","531.1459274185","463.0133020747","375.5121441648","213.73","148.8","111.61174444","109.1527147609","98.6358779588","25.5230908238","12.3122433735","10.1133789144","8.8568","7.5134888539","6.9442379493","6.4787101262","6.031424904","2.434763624","0.55533","0.3583244","0.1073924","0.0106698032","0.00615","0.0021439227","0.0008653423","0.000047004","0","0","0","2780.8329187549"
"2025-01-01","641.9821464959","531.1459274185","463.0133020747","375.5121441648","213.73","148.8","111.61174444","109.1527147609","98.6358779588","25.5230908238","12.3122433735","10.1133789144","8.8568","7.5134888539","6.9442379493","6.4787101262","6.031424904","2.434763624","0.55533","0.3583244","0.1073924","0.0106698032","0.00615","0.0021439227","0.0008653423","0.000047004","0","0","0","2780.8329187549"
